draw_number,draw_date,first_prize,second_prize,third_prize,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7,starter_8,starter_9,starter_10,consolation_1,consolation_2,consolation_3,consolation_4,consolation_5,consolation_6,consolation_7,consolation_8,consolation_9,consolation_10
4983,2023-03-05,8013,8140,2276,0072,0332,0903,1623,2893,4416,6248,6904,7796,8298,0455,1441,1809,2650,3486,5487,6404,7751,9512,9930
4984,2023-03-08,7493,8400,1971,1318,2126,3438,4030,4921,5513,5520,5792,6453,6768,1671,2339,2530,2829,3666,4690,4737,5187,8288,8732
4985,2023-03-11,7982,4760,0212,0342,0613,1404,4645,5956,6915,7628,7792,8714,8714,1073,3586,3648,4233,5933,6269,7026,7154,8558,9256
4986,2023-03-12,0691,2922,1822,1221,2099,3878,4006,4162,4481,4798,5164,6285,7255,0972,1279,3310,3321,3424,4343,5862,5952,9139,9785
4987,2023-03-15,1905,8878,5744,0741,1428,2654,3198,3573,4220,4815,8396,8402,9338,0250,0277,0677,0804,1030,1535,2762,3114,4705,8981
4988,2023-03-18,5774,9910,0464,1804,3083,4655,4743,5240,5302,7178,7451,8055,8071,0447,0496,1185,1466,2598,2831,5222,7203,8203,9725
4989,2023-03-19,4433,4821,5746,0796,0809,2058,2183,2565,4077,5553,8278,9571,9873,0568,2201,3617,4151,4770,5496,6944,8062,8244,8705
4990,2023-03-22,0027,5170,6937,0634,1626,3127,5576,6052,6311,6751,8507,8577,8681,4832,5368,5573,5807,6413,6459,7867,7877,8215,8988
4991,2023-03-25,3015,2415,6967,0193,0209,0714,1317,1360,3465,4849,8229,8661,9250,3531,5690,5953,5976,6506,7505,7608,7778,8107,8490
4992,2023-03-26,5794,2837,6982,2004,2324,3059,4492,4677,4961,6481,7105,8393,9672,0651,0795,1045,1247,4214,6430,7424,8347,8752,9559
4993,2023-03-29,2443,1657,4937,0592,1728,2665,3734,4188,4441,6336,7037,7658,7803,0934,1470,1990,2615,3875,4601,4683,4925,7567,9754
4994,2023-04-01,7517,5420,4448,1611,3300,3372,3769,3889,4667,6827,8351,9273,9499,0297,0369,1826,1865,2881,3854,4258,4761,6316,6412
4995,2023-04-02,5598,1644,0900,0666,5127,5176,5697,6813,7200,7858,8663,9550,9593,3761,4613,5144,5714,5864,6109,6589,8258,9215,9560
4996,2023-04-05,1783,8236,0927,3520,4157,4733,5943,6208,6355,6918,8570,8844,9609,0059,3427,3442,4364,4635,4769,6246,6336,7855,7902
4997,2023-04-08,4577,5726,5253,0472,0832,2294,5617,7248,8049,8375,8592,9119,9881,0507,2274,4000,4594,5701,6367,6628,6924,8519,9620
4998,2023-04-09,8090,3328,3448,1990,2340,2511,2942,3345,3706,4450,5623,5773,9538,1625,1640,1646,2800,6989,8480,9044,9568,9635,9722
4999,2023-04-12,1946,3869,1039,0550,2598,3373,3569,4873,5465,6816,8700,9015,9177,0863,0905,1372,3050,5857,8878,9251,9617,9736,9921
5000,2023-04-15,7867,4108,8246,1203,3445,3757,5756,5757,5905,6064,6600,7789,8446,0751,0955,3563,4190,4690,7974,9049,9314,9523,9529
